lessonId	order	title	chars	words	hasVideo	active
Y3E1	1	Comprehension with Transitioning Exercises	2122	302	true	true
Y3E3	2	Similes and Metaphors	1903	280	true	true
Y3E4	3	Present Perfect Tense	2234	359	true	true
Y3E5	4	Articles A, AN & THE	2627	419	true	true
Y3E6	5	Word families	2426	366	true	true
Y3E7	6	Adverbs	0	0	false	true
Y3E8	7	Prepositions	0	0	false	true
Y3E9	8	Homophones	0	0	false	true
Y3E10	9	Subordinate Clauses	0	0	false	true
Y3E11	10	Conjunctions to Create Subordinate Clauses	0	0	false	true
Y3E12	11	Consonants and Vowels, Suffixes -ly	0	0	false	true
Y3E13	12	Present and Past Perfect	0	0	false	true
Y3E15	13	Powerful Adjectives	0	0	false	true
Y3E16	14	Prefixes	0	0	false	true
Y3E17	15	Apostrophes	0	0	false	true
Y3E18	16	Pronouns, Nouns and Expanded Noun Phrases	0	0	false	true
Y3E19	17	Compound Words	0	0	false	true
Y3E20	18	Prefixes Mis, Dis and Un	0	0	false	true
Y3E21	19	Subordinating and Coordinating Conjunctions	0	0	false	true
Y3E22	20	Inverted Commas and Direct Speech	0	0	false	true
Y3E23	21	Prefix in, im, ir, il, re, sub, inter	0	0	false	true
Y3E24	22	Comprehension Activities	0	0	false	true
Y3E25	23	Headings and Sub-headings, Spellings	0	0	false	true
Y3E26	24	Types of Adverbs	0	0	false	true
Y3E27	25	Suffixes -ation, -ous	0	0	false	true
Y3E29	26	Paragraphs	0	0	false	true
Y3E31	27	Causal Conjunctions	0	0	false	true
Y3E32	28	Editing and Evaluating	0	0	false	true
Y3E33	29	Reading Assessment	0	0	false	true
Y3E34	30	Revision 1	0	0	false	true
Y3E35	31	Revision 2	0	0	false	true
Y3E36	32	Revision 3	0	0	false	true
