lessonId	order	title	chars	words	hasVideo	active
Y3M1	1	Transitioning to Year 3	0	0	false	true
Y3M2	2	Lesson 2 Number and Place Value	0	0	true	true
Y3M3	3	Partitioning	0	0	true	true
Y3M5	4	Statistics and Measurements	0	0	true	true
Y3M6	5	Number Bonds	0	0	true	true
Y3M7	6	Multiplication & Division	0	0	false	true
Y3M8	7	Multiplication (Grid Method)	0	0	false	true
Y3M9	8	Measurements (Advanced)	0	0	false	true
Y3M11	9	Fractions 1	0	0	false	true
Y3M12	10	Fractions 2	0	0	false	true
Y3M13	11	Fractions 3	0	0	false	true
Y3M14	12	Advanced Fractions	0	0	true	true
Y3M40	13	Fractions 4	0	0	false	true
Y3M15	14	Fractions 5	0	0	false	true
Y3M16	15	Fractions 6	0	0	false	true
Y3M17	16	Length and Perimeter 1	0	0	false	true
Y3M18	17	Length and Perimeter 2	0	0	false	true
Y3M19	18	Length and Perimeter 3	0	0	false	true
Y3M21	19	Length and Perimeter 4	0	0	false	true
Y3M22	20	Mass and Capacity 1	0	0	false	true
Y3M23	21	Mass and Capacity 2	0	0	false	true
Y3M24	22	Mass and Capacity 3	0	0	false	true
Y3M25	23	Volume and Capacity 1	0	0	false	true
Y3M26	24	Volume and Capacity 2	0	0	false	true
Y3M27	25	Pounds and Pence 1	0	0	false	true
Y3M28	26	Pounds and Pence 2	0	0	false	true
Y3M32	27	Properties of Shapes 1	0	0	false	true
Y3M33	28	Properties of Shapes 2	0	0	false	true
Y3M34	29	Properties of Shapes 3	0	0	false	true
Y3M35	30	Properties of Shapes 4	0	0	false	true
Y3M36	31	Statistics 1	0	0	false	true
Y3M37	32	Statistics 2	0	0	false	true
Y3M38	33	Statistics 3	0	0	false	true
Y3M39	34	Statistics 4	0	0	false	true
