lessonId	order	title	chars	words	hasVideo	active
Y4E1	1	Transitioning from Year 3 to Year 4	0	0	false	true
Y4E2	2	Autumn Starter	1732	242	true	true
Y4E3	3	Apostrophes, Inverted Commas and Creative Writing	0	0	true	true
Y4E4	4	Prepositions, Adverbial Phrases	2727	381	true	true
Y4E5	5	Pronouns and Possessive Nouns	0	0	false	true
Y4E7	6	Present perfect tense	3009	499	true	true
Y4E9	7	Prefixes	2699	411	true	true
Y4E12	8	Descriptive writing	3078	457	true	true
Y4E13	9	Plurals and Pronouns	2669	412	true	true
Y4E14	10	Standard English and Compound Words	3396	506	true	true
Y4E19	11	Verb Inflections	0	0	false	true
Y4E16	12	Term Starter	0	0	false	true
Y4E17	13	Adverbs	0	0	false	true
Y4E18	14	Fronted Adverbials	0	0	false	true
Y4E20	15	Homophones and Near Homophones	0	0	false	true
Y4E21	16	Commas	0	0	false	true
Y4E22	17	Powerful Adjectives and Noun Phrases	0	0	false	true
Y4E23	18	Editing	0	0	false	true
Y4E24	19	Determiners	0	0	false	true
Y4E25	20	Word Families	0	0	false	true
Y4E26	21	Prepositional Phrases and Expanded Noun Phrases	0	0	false	true
Y4E27	22	Inverted Commas and Speech Punctuations 1	0	0	false	true
Y4E28	23	Inverted Commas and Speech Punctuations 2	0	0	false	true
Y4E29	24	Paragraphs	0	0	false	true
Y4E30	25	Perfect Tenses	0	0	false	true
Y4E31	26	Prefixes in depth 'super' 'sub' 'inter' 'anti' 'auto' 'ex' 'non'	0	0	false	true
Y4E32	27	Plural Possessive Apostrophes	0	0	false	true
Y4E33	28	Clauses	0	0	false	true
Y4E34	29	Nouns and Pronouns	0	0	false	true
Y4E35	30	Revision 1	0	0	false	true
Y4E36	31	Revision 2	0	0	false	true
Y4E37	32	Revision 3	0	0	false	true
Y4E38	33	Revision 4	0	0	false	true
Y4E41	34	Spellings Revision	0	0	false	true
